"idclient","idcompany","idmember","idaccount","idcategory","defaultcategory","period_yyyymm","monthly_total"
1,"52","100007",INT4,Other,Other,"2026-06",2.54
1,"52","100007",INT5,Other,Other,"2026-06",4.52
1,"52","100007",INT5,Home & rent,Home & rent,"2026-05",0.14
1,"52","100007",INT5,Other,Other,"2026-05",1688.52
1,"52","100007",INT4,Other,Other,"2026-05",5552.60
1,"52","100007",INT4,Taxes & fees,Taxes & fees,"2026-05",0.04
1,"52","100007",INT4,Other,Other,"2026-04",10560.49
1,"52","100007",INT101841,Other,Other,"2026-04",400.00
1,"52","100007",INT5,Other,Other,"2026-04",2408.36
1,"52","100007",INT89723,Other,Other,"2026-04",350.05
1,"52","100007",INT5,Taxes & fees,Taxes & fees,"2026-04",50.00
1,"52","100007",INT5,Other,Other,"2026-03",110.09
1,"52","100007",INT89723,Other,Other,"2026-03",795.37
1,"52","100007",INT4,Other,Other,"2026-03",50243.50
1,"52","100007",INT101841,Other,Other,"2026-03",718.36
1,"52","100007",INT5,Taxes & fees,Taxes & fees,"2026-03",150.00
1,"52","100007",INT5,Other,Other,"2026-02",334.69
1,"52","100007",INT4,Other,Other,"2026-02",11708.47
1,"52","100007",INT101841,Other,Other,"2026-02",500.03
1,"52","100007",INT89723,Other,Other,"2026-02",1981.35
1,"52","100007",INT89723,Other,Other,"2026-01",1070.24
1,"52","100007",INT4,Other,Other,"2026-01",12949.34
1,"52","100007",INT101841,Other,Other,"2026-01",211.67
1,"52","100007",INT5,Other,Other,"2026-01",1589.46
1,"52","100007",INT5,Other,Other,"2025-12",4918.12
1,"52","100007",INT4,Other,Other,"2025-12",36393.79
1,"52","100007",INT101841,Other,Other,"2025-12",147.50
1,"52","100007",INT89723,Other,Other,"2025-12",1665.01
1,"52","100007",INT4,Other,Other,"2025-11",11195.92
1,"52","100007",INT5,Other,Other,"2025-11",2589.89
1,"52","100007",INT5,Other,Other,"2025-10",1950.00
1,"52","100007",INT4,Other,Other,"2025-10",17646.16
1,"52","100007",INT89723,Other,Other,"2025-10",1.10
1,"52","100007",INT4,Other,Other,"2025-09",12315.16
1,"52","100007",INT5,Other,Other,"2025-09",6958.90
1,"52","100007",INT5,Other,Other,"2025-08",946.89
1,"52","100007",INT4,Other,Other,"2025-08",10475.56
1,"52","100007",INT4,Other,Other,"2025-07",10737.18
1,"52","100007",INT5,Other,Other,"2025-07",894.53
1,"52","100007",INT89723,Other,Other,"2025-07",878791.01
1,"52","100007",INT5,Other,Other,"2025-06",3003.04
1,"52","100007",INT4,Other,Other,"2025-06",12965.70
1,"52","100007",INT5,Taxes & fees,Taxes & fees,"2025-06",10.00
1,"52","100007",INT5,Other,Other,"2025-05",1313.82
1,"52","100007",INT4,Other,Other,"2025-05",10137.89
1,"52","100007",INT101841,Other,Other,"2025-04",67.83
1,"52","100007",INT4,Other,Other,"2025-04",4765.66
1,"52","100007",INT5,Other,Other,"2025-04",11219.72
1,"52","100007",INT89723,Other,Other,"2025-04",1230.65
1,"52","100007",INT89723,Other,Other,"2025-03",2254.20
1,"52","100007",INT5,Other,Other,"2025-03",863.25
1,"52","100007",INT4,Other,Other,"2025-03",10025.25
1,"52","100007",INT4,Other,Other,"2025-02",10740.06
1,"52","100007",INT101841,Other,Other,"2025-02",900.00
1,"52","100007",INT5,Other,Other,"2025-02",1421.67
1,"52","100007",INT89723,Other,Other,"2025-02",39.01
1,"52","100007",INT5,Other,Other,"2025-01",1072.60
1,"52","100007",INT101841,Other,Other,"2025-01",553.00
1,"52","100007",INT4,Other,Other,"2025-01",12897.88
1,"52","100007",INT4,Other,Other,"2024-12",23609.19
1,"52","100007",INT5,Other,Other,"2024-12",3013.50
1,"52","100007",INT89723,Other,Other,"2024-12",885.00
1,"52","100007",INT89723,Other,Other,"2024-11",6.35
1,"52","100007",INT5,Other,Other,"2024-11",1356.88
1,"52","100007",INT101841,Other,Other,"2024-11",1000.00
